C1,C2,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150
204,Sikta,10/20/2020,13:49:00,Frezar Road,9,2,32,1,3,1,3,2,1,1,Corruption,1,4,1,2,0,0,0,1,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,5,4,3,3,4,4,1,5,5,4,4,3,3,3,5,4,3,2,2,2,4,3,4,3,4,4,2,2,3,5,5,88,88,2,3,4,3,3,3,4,5,1,1,2,3,4,3,3,3,3,5,1,2,2,4,3,2,4,3,3,3,1,4,2,1,1,1,5,4,2,2,1,1,1,1,3,1988,19000,3
205,Bankipur,10/20/2020,10:25:00,RMS colony,182,2,35,2,3,1,5,2,1,1,Education,2,1,3,2,1,0,0,0,0,0,0,1,4,1,3,1,99,4,2,1,1,88,4,1,1,1,99,4,1,1,1,99,4,2,3,1,88,4,2,3,1,99,4,1,2,99,88,1,1,1,1,99,4,3,1,2,5,2,1,5,4,5,2,2,1,4,4,3,2,1,5,2,1,5,2,3,1,88,5,4,3,1,99,5,2,3,1,88,5,1,3,88,1,5,1,2,1,88,5,2,3,88,1,4,4,2,1,4,3,4,4,5,3,2,4,3,2,2,1,5,1,2,88,99,1,1,1,,1985,30000,1
206,Bankipur,10/20/2020,12:20;00,Mithapur,182,2,35,1,4,1,3,2,1,1,Corruption,2,1,88,2,1,1,1,0,0,0,1,1,4,3,3,2,2,4,3,1,2,3,4,3,1,2,2,4,1,1,3,3,4,4,3,3,2,4,3,2,2,2,4,3,4,3,3,88,1,1,1,1,2,2,3,4,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,2,1,2,3,3,3,4,2,2,3,3,4,1,3,3,3,4,2,3,4,3,4,2,3,3,4,3,1,3,3,3,3,4,3,3,3,3,2,3,3,4,3,1,3,3,3,2,2,4,1,1,1,1,1,1,1,1,1985,16000,3
207,Sikta,10/20/2020,14:05:00,Frezar Road,9,2,25,1,2,88,3,2,1,1,Corruption,2,3,1,2,0,0,0,1,0,1,0,1,2,2,2,2,3,4,3,1,2,2,4,4,1,4,3,88,88,88,88,88,2,2,2,2,1,4,88,4,3,1,2,2,2,1,1,1,1,1,1,1,1,5,5,5,2,2,1,3,3,4,5,2,3,4,5,4,3,3,3,2,5,3,3,4,4,5,2,2,2,2,3,2,2,2,3,4,3,3,3,4,5,2,2,2,2,5,1,1,1,2,5,1,3,1,3,2,2,2,1,2,1,1,4,4,4,2,1,1,2,1,1,4,1,1,88,,1995,15000,3
208,Belaganj,10/20/2020,11:00:00,Mithapur,232,2,32,2,4,1,3,2,1,1,Corruption,2,1,2,2,1,0,1,0,0,0,0,1,3,1,3,2,1,3,2,1,3,4,4,3,1,2,3,3,1,1,3,2,4,3,4,2,4,4,2,4,2,4,4,2,4,2,88,1,1,1,1,1,2,3,2,5,1,3,2,1,5,88,2,3,2,3,2,2,2,3,2,2,5,1,2,4,1,1,2,1,1,4,1,2,1,4,3,3,2,3,2,4,3,2,2,2,1,5,1,4,2,4,2,88,2,3,3,3,4,1,3,5,3,1,2,4,4,2,4,5,4,2,1,2,1,4,1,1,1988,20000,3
209,Sasaram,10/20/2020,10:50:00,Shivala ,208,2,32,1,4,1,5,2,1,2,Education,2,1,3,2,1,1,1,1,1,1,1,1,3,2,2,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,88,88,2,2,88,3,3,2,88,88,88,3,2,88,3,88,3,2,2,88,88,88,88,88,4,1,1,1,1,4,3,2,88,88,1,1,1,1,1,3,88,88,88,88,2,3,3,88,88,4,2,2,4,4,2,1,2,4,2,1,3,1,1,2,1,3,2,2,1,1,1,1,1,,1988,15000,2
210,Sikta,10/20/2020,14:22:00,Frezar Road,9,2,26,1,2,1,5,2,1,1,Corruption,2,3,1,2,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,2,3,3,1,3,3,4,1,1,4,4,88,88,88,88,88,99,99,99,99,99,99,88,4,3,1,99,88,1,1,1,5,3,2,2,2,4,1,2,4,3,4,1,4,5,4,4,2,3,3,2,2,4,4,4,4,4,2,2,3,4,5,2,3,3,4,5,2,2,2,4,5,1,2,2,2,5,1,2,3,4,5,1,1,1,3,3,3,2,1,3,2,1,5,5,4,2,2,2,2,1,1,1,1,4,88,,1994,13000,2
211,Darbhanga,10/20/2020,11:09:00,Patna sahib,83,2,42,1,3,1,1,2,1,1,Acid Attack,1,3,88,2,0,0,1,1,1,1,0,1,88,3,4,3,88,4,2,1,1,88,2,88,1,3,3,4,1,1,3,2,4,88,3,2,88,88,3,88,2,2,88,3,4,3,2,88,1,1,1,1,2,3,1,1,2,1,2,3,1,2,2,2,2,3,2,2,2,3,3,2,3,1,3,2,3,1,1,3,1,3,1,1,2,3,88,3,2,3,3,1,2,2,2,2,3,3,88,2,2,1,1,4,4,2,3,3,2,3,4,5,1,1,4,3,3,2,88,5,4,2,1,1,1,1,1,3,1978,18000,1
212,Bankipur,10/20/2020,12:35:00,Frezar Road,182,2,36,1,4,1,3,2,1,1,Corruption,2,1,2,2,1,1,0,1,0,0,0,1,3,3,2,2,3,3,2,1,3,3,4,3,1,2,3,4,1,1,2,2,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,1,1,1,1,2,3,3,3,3,3,1,4,4,4,4,2,3,3,2,3,2,3,3,2,2,2,2,3,3,3,1,3,3,3,3,1,3,3,3,2,1,2,3,3,3,3,3,3,3,4,2,3,3,3,3,4,3,2,3,3,2,2,3,5,1,1,4,3,5,2,2,5,1,2,1,1,1,4,88,,1984,14000,2
213,Sikta,10/20/2020,14:38:00,Frezar Road,9,2,36,1,2,1,5,2,1,1,Corruption,2,1,1,2,1,0,0,0,0,0,0,1,1,1,2,2,3,3,99,99,88,4,1,1,1,3,3,1,99,1,1,1,1,2,3,3,3,2,4,4,2,2,1,4,4,4,1,2,1,1,1,1,5,5,3,3,2,2,1,1,2,2,3,4,4,5,5,4,3,3,3,2,2,4,4,3,3,3,2,2,1,1,1,5,4,4,5,5,3,3,3,5,5,4,3,3,5,3,3,1,3,3,5,1,1,2,1,2,3,3,1,1,2,1,3,5,4,4,2,1,2,1,1,2,1,4,1,3,1984,15000,2
214,Sikandra,10/20/2020,11:25:00,Mithapur,240,2,30,1,3,1,3,2,1,1,Health and Hospital,1,2,1,2,1,1,1,1,0,0,0,1,4,2,3,1,2,3,2,1,1,3,1,1,1,1,1,3,1,1,2,3,4,2,4,3,2,4,4,1,3,3,4,2,3,2,3,4,1,1,1,1,2,1,4,2,4,3,2,4,2,2,3,3,4,4,2,3,2,1,1,4,5,3,3,5,3,4,2,5,4,2,5,2,3,2,4,5,2,3,5,4,5,3,2,4,2,4,2,5,2,5,5,2,4,2,4,1,3,1,2,3,1,1,1,5,1,4,2,5,2,1,1,4,1,4,1,3,1990,28000,3
215,Aurangabad ,10/20/2020,11:10:00,Shivala ,223,2,48,1,2,1,4,2,1,2,Inflation,2,1,3,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,88,88,88,88,88,3,3,4,88,88,88,3,88,88,88,88,3,2,2,4,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,4,3,88,88,4,3,3,4,2,3,3,2,3,2,1,3,1,1,2,2,4,1,2,1,1,1,4,1,,1972,12000,1
216,Bankipur,10/20/2020,12:49:00,Frezar Road,182,2,36,1,4,1,88,2,1,1,Corruption,1,4,88,2,0,0,0,0,0,0,0,1,88,3,3,4,3,4,3,1,3,3,4,3,1,2,3,88,1,1,4,3,4,4,3,4,3,4,3,4,3,3,88,4,3,4,3,88,1,1,1,1,2,2,3,3,2,3,1,3,2,3,3,2,2,2,1,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,3,2,2,4,4,3,3,4,4,3,3,5,1,1,3,4,3,4,2,5,4,1,1,1,1,1,88,,1984,12000,2
217,Kumhrar,10/20/2020,10:41:00,RMS colony,183,2,25,1,4,1,5,2,1,1,Un employment,2,1,3,2,0,0,0,0,0,0,1,1,4,2,3,1,99,4,1,1,99,88,4,2,1,99,88,4,1,1,99,88,4,2,3,1,88,4,3,2,99,1,4,3,2,1,88,4,1,1,1,88,3,4,1,2,5,1,1,5,4,5,2,1,2,4,4,3,2,1,5,88,2,5,2,4,99,88,5,2,4,1,99,5,2,3,1,88,5,2,3,99,1,5,1,3,99,88,5,1,3,1,88,4,4,2,1,4,3,3,4,5,2,1,4,2,3,4,1,5,1,1,88,4,1,1,1,,1995,20000,1
218,Bikram,10/20/2020,11:25:00,Shivala ,191,1,36,1,3,2,3,2,2,2,Poverty ,1,2,4,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,3,2,3,1,1,3,3,2,1,1,1,1,1,1,1,99,99,99,88,88,88,88,88,3,3,88,88,88,2,88,88,88,88,4,1,1,88,2,88,88,88,3,3,1,1,1,2,2,88,88,88,88,88,88,88,88,88,88,88,88,88,4,3,3,1,1,1,1,2,1,1,3,2,2,1,1,1,2,1,1,2,2,2,4,2,1,1,2,88,1,,1984,10000,1
219,Bankipur,10/20/2020,13:05:00,Frezar Road,182,2,29,1,4,1,3,2,1,1,Corruption,2,2,3,2,0,0,0,1,0,0,0,1,4,3,3,2,3,4,3,1,2,3,4,3,1,2,2,3,1,1,2,3,4,3,3,4,2,4,3,3,3,2,4,4,3,3,3,4,1,1,1,1,2,1,2,2,3,2,2,1,2,2,1,4,3,3,2,2,3,3,3,2,1,2,3,3,3,3,2,3,3,4,4,2,3,3,4,4,2,3,4,3,3,2,3,3,3,4,2,3,3,3,3,4,3,3,4,3,3,3,3,4,1,1,3,3,3,4,2,4,4,2,1,2,1,4,88,,1991,12000,3
220,Rajgir,10/20/2020,11:40:00,Mithapur,173,2,32,1,3,2,3,2,1,1,School  fees ,2,3,3,2,1,0,0,1,0,0,0,1,3,2,2,88,1,3,4,1,3,1,3,4,1,1,3,4,1,1,2,3,4,2,4,2,88,2,3,1,2,1,3,2,3,1,88,2,1,1,1,1,3,2,4,2,2,4,1,4,2,4,3,2,5,3,3,88,5,1,5,2,2,5,5,3,2,5,4,2,2,3,4,3,2,4,3,5,1,4,3,4,1,3,88,4,2,5,4,2,5,2,5,3,1,88,3,1,4,1,4,1,2,2,88,2,3,2,2,3,5,1,2,1,1,4,1,3,1988,24000,3
221,Sikta,10/20/2020,14:54:00,Frezar Road,9,2,35,1,2,2,4,2,1,1,Corruption,1,88,88,2,0,0,0,0,1,0,1,1,1,4,4,2,1,1,1,1,2,1,4,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,5,2,4,4,5,3,1,5,5,5,3,1,3,5,5,4,3,3,3,3,2,5,2,4,4,5,5,4,3,3,1,2,2,2,2,3,5,4,3,2,2,5,4,3,2,2,5,4,2,1,1,1,2,4,4,3,99,99,88,1,2,2,2,3,1,2,2,2,2,2,2,1,4,1,88,,1985,18000,2
222,Kumhrar,10/20/2020,12:05:00,kanakarbagh,183,1,60,1,2,2,1,1,1,1,Covind19,1,1,4,2,1,1,1,1,0,1,0,1,4,2,3,3,4,4,2,1,4,3,4,2,1,4,3,4,1,1,4,3,4,3,4,3,4,4,1,3,4,4,4,1,3,4,4,88,1,1,1,1,4,4,3,4,5,5,1,4,4,3,4,4,3,4,4,5,4,1,5,4,4,3,4,3,4,4,4,2,3,4,4,3,3,3,3,3,4,3,4,3,3,4,2,3,4,3,4,1,4,4,3,3,4,4,4,3,4,3,4,4,2,1,3,2,3,5,2,4,2,1,1,1,1,1,1,,1960,25000,1
223,Bikram,10/20/2020,11:40:00,Shivala ,191,2,38,1,2,1,3,2,2,2,Inflation,1,2,3,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,88,88,88,2,3,88,2,3,3,88,2,88,3,3,88,3,88,2,3,3,88,88,88,88,88,88,3,88,88,88,3,3,2,88,88,88,88,88,88,88,88,88,88,88,88,2,3,88,88,88,4,3,3,3,3,3,2,3,2,1,2,3,2,1,2,2,2,4,2,1,1,1,4,1,,1982,20000,1
224,Tikari,10/20/2020,11:29:00,Patna Court,231,2,32,1,2,2,3,2,1,1,Domestic violence,1,2,2,2,1,1,1,0,0,0,0,1,4,1,4,2,88,3,2,88,2,88,2,4,1,4,3,3,1,1,4,3,2,2,3,2,88,3,2,4,3,88,3,2,4,3,88,2,1,1,1,1,2,2,3,1,1,2,1,3,1,3,2,3,1,2,2,1,3,2,2,3,5,2,3,2,2,88,3,2,3,2,1,3,4,1,2,1,3,3,1,3,1,3,2,2,2,1,1,4,2,1,3,3,3,3,4,3,4,4,3,4,1,1,4,5,4,2,5,4,4,1,1,1,2,1,1,2,1988,12000,3
225,Tikari,10/20/2020,11:55:00,Mithapur,231,2,35,1,3,2,4,2,1,1,Corruption,2,3,2,2,1,0,0,1,0,0,0,1,4,2,3,1,1,4,2,1,3,1,4,1,1,1,4,4,1,1,2,88,88,2,4,2,4,88,2,3,4,1,2,4,2,3,1,88,1,88,1,88,2,3,2,2,2,5,2,5,2,5,2,2,5,1,4,2,5,2,5,2,4,2,4,1,5,1,3,1,5,3,5,3,4,4,2,5,2,4,2,5,4,3,2,3,3,5,3,2,4,4,5,1,2,1,3,1,3,1,2,4,1,1,2,5,2,1,1,2,2,1,1,1,1,4,1,3,1985,15000,3
226,Bankipur,10/20/2020,13:22:00,Mithapur,182,2,35,1,3,2,3,2,1,2,Corruption,2,1,2,2,1,1,0,0,0,0,1,1,4,3,3,2,3,4,3,1,3,2,4,3,1,2,3,4,1,1,3,3,4,3,3,3,3,4,3,3,2,2,4,3,3,2,3,4,1,1,1,1,1,3,3,3,3,3,1,3,4,1,2,2,3,3,2,3,2,3,3,2,1,1,2,3,3,3,2,3,3,4,3,2,3,3,4,3,1,2,2,2,3,2,3,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,4,3,1,3,3,4,2,2,4,4,2,1,1,1,4,88,,1985,16000,1
227,Kumhrar,10/20/2020,13:51:00,kanakarbagh,183,1,60,1,2,2,1,1,1,1,Covind19,1,88,4,2,1,1,0,1,1,0,0,1,4,1,3,4,3,4,2,1,3,4,4,2,1,4,3,4,1,1,3,4,3,2,3,3,2,4,3,3,2,3,4,2,3,4,3,4,1,1,1,1,5,4,4,5,4,3,1,3,4,4,3,4,4,5,4,5,4,2,4,2,2,4,2,3,2,2,3,3,2,3,3,3,1,2,3,2,3,1,2,1,1,3,3,2,2,2,4,2,1,3,2,3,4,3,4,3,3,4,88,4,2,1,3,3,3,5,4,4,2,1,1,1,1,1,1,,1960,25000,1
228,Sikta,10/20/2020,15:09:00,Frezar Road,9,2,42,1,2,88,4,88,1,1,Corruption,2,3,4,2,0,0,0,1,0,0,0,1,2,3,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,3,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,5,5,3,5,5,5,1,5,5,3,5,1,4,5,5,5,5,3,5,2,2,5,2,5,5,4,5,3,4,5,5,5,5,3,3,5,88,2,3,4,5,88,1,2,3,4,5,4,5,3,5,1,1,3,2,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,88,,1978,11000,2
229,Kumhrar,10/20/2020,11:00:00,RMS colony,183,2,25,1,4,1,5,2,1,1,Corruption,2,1,1,2,0,0,1,0,0,0,0,1,4,2,3,1,99,4,1,1,2,99,4,2,1,1,88,4,1,1,1,1,4,1,2,99,88,4,2,3,99,88,4,2,3,99,88,4,1,1,99,88,3,4,1,1,4,1,2,4,5,4,2,1,2,5,5,3,2,1,5,2,1,5,2,3,1,99,5,2,3,99,88,5,2,3,1,99,5,2,4,99,88,5,2,4,99,88,5,1,3,88,88,4,4,2,1,4,3,3,4,5,2,1,4,3,2,2,1,5,2,2,99,4,1,1,1,,1995,25000,2
230,Gaighat,10/20/2020,12:11:00,Mithapur,88,2,31,1,2,1,5,2,1,2,Corruption,1,1,1,2,1,1,0,1,0,0,0,1,3,2,3,1,4,4,2,1,1,4,2,4,1,4,1,2,1,1,3,4,4,2,4,1,4,2,4,1,4,1,3,4,1,4,1,4,1,1,1,1,3,2,4,2,4,1,1,1,4,2,3,1,5,1,3,3,1,1,1,2,5,99,2,2,2,5,2,4,2,5,3,1,5,1,3,88,1,1,4,1,5,1,3,2,4,88,1,3,88,4,88,3,4,2,88,1,4,2,3,3,2,1,5,3,5,2,5,4,2,5,2,1,1,4,1,3,1989,25000,3
231,Bankipur,10/20/2020,13:37:00,Frezar Road,182,2,36,1,4,1,3,2,1,2,Corruption,1,4,88,2,0,0,1,0,0,0,0,1,4,3,3,2,3,2,3,1,2,2,3,3,1,3,3,3,1,1,2,2,4,3,3,2,3,3,3,3,2,2,3,3,2,3,3,4,1,1,1,1,2,3,4,3,3,3,1,3,1,2,3,3,2,3,2,2,3,2,2,2,1,2,2,3,3,2,1,2,2,2,3,1,2,3,3,3,2,3,3,3,2,1,3,3,3,3,2,2,3,3,3,4,3,3,4,3,3,3,3,4,1,1,3,4,4,2,2,5,4,1,1,1,1,2,88,,1984,12000,3
232,Danapur,10/20/2020,11:35:00,Phulwari sarif,186,2,25,1,2,2,3,2,2,2,Inflation,1,1,2,2,1,1,1,0,0,0,0,1,3,2,3,2,3,4,3,1,4,4,3,3,1,3,3,2,1,1,2,3,4,3,4,3,3,2,3,4,88,99,3,3,3,2,2,4,1,1,1,1,3,3,2,3,3,3,1,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,2,3,2,1,3,2,3,2,1,3,2,3,2,3,3,3,3,3,3,3,3,5,3,1,3,3,3,2,2,5,5,1,1,1,1,1,1,1,1995,25000,1
233,Kumhrar,10/20/2020,14:02:00,kanakarbagh,183,2,20,2,2,2,88,88,1,2,Corruption,2,4,2,2,1,0,1,1,0,0,0,1,4,3,4,4,3,4,3,1,4,4,4,2,1,3,4,4,1,1,4,4,3,4,4,3,4,3,4,4,4,3,4,3,4,4,3,1,1,1,1,1,5,4,3,4,4,3,1,3,4,3,4,3,3,4,4,4,5,1,3,3,3,3,2,2,2,1,2,3,2,1,2,2,1,3,2,2,2,3,2,3,3,2,3,3,3,3,1,1,2,1,2,3,3,4,3,4,4,4,3,4,2,1,3,3,2,5,2,4,5,1,1,1,1,4,1,,2000,20000,1
234,Gaighat,10/20/2020,12:27:00,Mithapur,88,2,38,1,4,1,5,2,1,2,Corruption,1,3,3,2,1,0,0,0,0,0,0,1,4,2,3,1,4,4,2,1,2,4,4,2,1,1,4,4,1,1,1,88,4,2,4,2,88,99,2,4,2,3,3,1,4,4,4,4,1,1,1,1,2,3,1,4,2,4,1,4,2,2,3,2,3,2,2,4,1,1,88,2,2,2,3,2,3,1,3,4,3,4,1,3,3,5,4,5,2,4,4,3,1,3,2,3,4,5,1,3,2,4,1,3,4,1,4,1,4,1,4,2,1,1,4,3,4,2,4,5,1,1,1,2,1,4,1,3,1982,25000,1
235,Danapur,10/20/2020,11:55:00,Khagaul,186,2,21,1,4,2,3,2,2,2,Un employment,1,1,2,2,1,1,1,0,0,0,0,1,1,2,3,3,3,3,3,1,3,3,3,2,1,3,3,3,1,1,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,1,1,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,2,3,3,4,3,3,3,3,3,3,1,3,3,3,2,2,3,4,2,1,1,1,1,1,1,2001,20000,1
236,Sandesh,10/20/2020,12:00:00,Shivala ,192,1,36,2,4,1,5,2,1,2,Health and Hospital,2,1,88,2,1,0,1,1,0,1,0,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,88,99,88,88,88,3,1,2,88,2,88,2,88,88,88,88,2,2,2,88,88,88,88,88,88,88,88,88,88,2,3,3,88,88,88,88,88,88,88,88,88,88,88,88,2,2,88,88,88,4,3,1,4,3,2,2,3,4,2,2,3,1,1,3,1,4,1,2,1,1,1,1,1,,1984,35000,1
237,Danapur,10/20/2020,12:53:00,Khagaul,186,2,30,1,3,2,3,2,2,2,Un employment,1,4,1,2,1,0,1,0,0,0,0,1,1,3,3,3,3,1,3,1,3,3,3,2,1,3,3,2,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,4,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,2,1,3,3,3,3,4,3,1,2,3,1,1,4,1,,1990,18000,2
238,Kumhrar,10/20/2020,14:37:00,kanakarbagh,183,1,25,1,4,2,3,2,1,2,Covind19,2,1,2,2,1,1,1,1,1,1,0,1,4,2,4,4,3,4,3,1,4,3,3,4,1,4,3,4,1,1,3,4,2,3,2,3,3,2,3,3,2,2,3,3,2,3,3,4,1,1,1,1,5,4,5,4,5,4,1,4,5,5,4,4,5,4,4,5,4,2,4,2,2,2,1,2,2,2,1,3,1,2,3,3,1,2,2,3,2,1,2,3,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,3,2,4,2,1,3,2,2,4,4,4,1,2,5,1,1,4,1,,1995,15000,1
239,Arrah bhojpur,10/20/2020,12:16:00,Shivala ,194,1,25,2,3,1,3,2,1,2,Education,2,2,2,2,1,0,1,1,0,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,88,88,88,88,88,88,88,88,3,88,88,3,88,3,88,88,88,88,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,88,88,88,88,88,88,88,88,88,2,2,88,88,88,4,3,2,4,2,2,1,1,3,3,2,3,1,1,2,1,3,1,2,1,1,1,1,1,,1995,25000,1
240,Patna sahib,10/20/2020,11:49:00,Gayghat,184,2,36,1,2,2,1,2,4,2,Education,2,4,3,2,0,0,0,1,0,0,0,1,4,4,3,3,88,3,2,1,3,2,4,3,1,3,3,3,1,1,3,4,4,3,4,3,4,3,4,88,2,2,4,3,3,4,3,2,1,1,1,1,3,3,2,1,3,1,2,3,2,2,2,2,2,2,2,2,3,1,2,3,3,1,2,2,2,2,3,2,4,1,2,2,3,1,3,1,1,3,3,2,2,3,88,1,3,2,2,2,4,3,2,3,3,4,3,3,3,88,2,4,1,1,5,4,4,5,4,4,4,2,88,1,1,4,88,,1984,20000,3
241,Kumhrar,10/20/2020,11:18:00,RMS colony,183,2,30,1,2,2,3,2,1,2,Education,1,1,1,2,1,1,0,1,1,0,0,1,3,3,2,3,2,3,2,1,2,3,3,2,1,3,3,3,1,1,3,3,2,3,2,3,2,2,3,2,3,2,3,2,3,4,3,3,1,1,1,1,2,3,2,3,3,4,1,4,3,3,4,3,4,3,3,4,3,1,3,3,3,1,3,2,1,2,2,3,1,2,1,2,1,3,2,2,1,2,2,1,2,1,2,1,2,1,2,3,1,2,2,2,3,2,3,3,2,3,3,2,3,1,2,3,2,3,2,3,2,2,2,1,1,1,1,1,1990,30000,2
242,Phulwari,10/20/2020,13:32:00,Phulwari sarif,188,2,32,1,2,88,3,3,1,2,Un employment,2,2,88,2,1,0,0,0,0,0,0,1,1,3,2,3,3,3,2,1,3,3,3,3,1,2,3,2,1,1,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,4,3,3,4,4,3,3,4,3,1,4,4,4,5,4,5,1,1,4,1,1,4,1,1,1988,20000,3
243,Bikram,10/20/2020,12:31:00,Shivala ,191,2,40,1,4,1,5,2,1,2,Inflation,2,1,1,2,1,1,1,1,1,1,1,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,3,88,88,88,3,88,3,3,2,88,2,88,3,2,88,2,88,3,4,4,3,3,2,88,1,3,4,2,88,88,2,3,3,88,1,88,88,88,88,88,2,88,88,88,99,2,3,2,88,88,4,4,3,3,4,3,3,3,4,3,1,3,1,1,3,1,3,1,2,88,4,1,1,1,1,1980,25000,1
244,Digha,10/20/2020,14:58:00,kanakarbagh,181,1,30,1,1,2,1,1,1,2,Education,2,1,3,2,1,1,1,1,1,1,0,1,2,3,4,4,4,4,3,1,3,4,3,4,1,4,3,3,1,1,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,4,1,1,1,1,4,5,4,5,4,4,1,4,4,5,4,1,4,3,5,4,3,1,4,2,2,2,2,2,3,2,2,1,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,1,2,3,2,1,3,2,2,4,4,88,4,88,4,88,4,4,2,1,4,5,4,5,5,4,5,1,88,1,1,4,1,3,1990,15000,1
245,Phulwari,10/20/2020,13:52:00,Phulwari sarif,188,2,35,1,2,2,3,3,1,2,Un employment,2,3,3,2,1,1,0,0,0,0,0,1,1,3,2,3,3,1,3,1,3,3,2,3,1,3,3,2,1,1,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,1,1,1,1,4,4,3,4,4,4,1,4,4,2,2,3,3,3,3,2,2,3,3,1,2,3,1,3,2,2,4,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,3,2,2,2,4,3,3,3,3,2,2,3,2,3,3,3,3,3,3,1,3,3,3,3,2,3,4,2,3,1,1,1,1,,1985,25000,1
